0,1328
0.000,7353
0.0001,2447
0.0005,6969
0.001,6556
0.002,7509
0.003,7065
0.004,7507
0.00675,6955
0.01,3998
0.010,6799
0.012,5461
0.013,5234
0.014,6637
0.02,5018
0.02025,6956
0.025,5225
0.028,5233
0.03,6478
0.04,5858
0.05,3190
0.06,6996
0.066,6957
0.08,6997
0.0904,4086
0.1,3633
0.10,3191
0.11,2980
0.117,6053
0.12,5565
0.120,6054
0.13,6636
0.14,6998
0.1428,7450
0.14x10,5558
0.15,5095
0.15x106,6626
0.16,6999
0.18,6635
0.182,5836
0.1875,3089
0.19,5490
0.195e,5830
0.199,4761
0.2,2721
0.21,6238
0.211,6052
0.22,4976
0.25,7275
0.254,4089
0.262,4946
0.3,2081
0.30,5886
0.32,2981
0.33,5542
0.35,1507
0.36,4571
0.367,4090
0.368,7198
0.38,5087
0.4,1206
0.40,372
0.42,5544
0.43,5451
0.44,6236
0.45,2340
0.46,374
0.5,1556
0.50,1754
0.500,5046
0.53,3339
0.55,7263
0.57,7566
0.5772,5991
0.58,7279
0.6,3068
0.60,3239
0.62,6789
0.635,1900
0.65,3430
0.69,6237
0.6x10,5454
0.7,2515
0.70,6793
0.71,5325
0.715,824
0.72,4096
0.725,5215
0.73,6523
0.737,6599
0.741,6958
0.75,1465
0.76,4731
0.8,3067
0.80,6035
0.800,6602
0.805,6600
0.823,5460
0.825,6595
0.84,4553
0.840,5462
0.85,3342
0.854,6601
0.8a,5862
0.9,3577
0.90,3260
0.92,3431
0.95,3337
0.952,3437
0.96,5916
0.98,3450
000,1505
000degree,4006
000degreek,5097
000k,7461
01,6090
0degree,5554
0degrees,5671
1,230
1.0,1508
1.00,6798
1.008,2536
1.03,4572
1.05,3245
1.064,4517
1.07,6616
1.08,5397
1.09,3240
1.1,3282
1.10,5912
1.11,3916
1.12,5966
1.13,6072
1.15,3283
1.17,4443
1.2,2891
1.20,5647
1.23849,4753
1.24,6087
1.25,3194
1.27,5587
1.3,1491
1.30,2273
1.33,5344
1.35,4907
1.39,5338
1.3x10,5492
1.4,3284
1.40,3090
1.400,4947
1.43,7549
1.45,3777
1.450,5577
1.46,7445
1.479,2548
1.48,4554
1.5,336
1.50,5913
1.52,6088
1.55,5396
1.58,7349
1.6,3087
1.60,6630
1.61,1871
1.62,3079
1.66,5588
1.67,6817
1.6x10,5474
1.7,5967
1.71,5590
1.72,3043
1.74,6105
1.747,5583
1.75,5172
1.76,1223
1.77,1755
1.78,3045
1.8,3279
1.80,3889
1.81,4444
1.82,3044
1.85,7127
1.8x10,3782
1.9,4706
1.90,218
1.91,3919
1.92,7576
1.94,3080
1.944,3285
1.96,4570
1.97,1201
1.98,7223
10,329
10.3,6477
10.5,6959
100,1564
1000,2665
100degrees,5658
100x10,4451
101,5473
1081,4757
109,4951
10degree,4209
10degrees,5673
10g,7556
11,1939
11.2,7663
11.60,7417
11.7,7251
11.78,7639
110,6551
1103,5804
1103a,5805
111,6673
113,4729
1135,6653
117,4481
11in,7579
12,202
12.0,6252
12.4,7248
120,2907
1211,4585
124.9,1901
125,7035
